Statistic Label,Month,County,Driving Test Categories,UNIT,VALUE
Driving Test Pass Rate,2023 March,Co. Dublin,Category B (Car or light van),%,43.3
Driving Test Pass Rate,2023 March,Co. Galway,Category B (Car or light van),%,60
Driving Test Pass Rate,2023 March,Co. Kildare,Category B (Car or light van),%,52.3
Driving Test Pass Rate,2023 April,Co. Dublin,Category B (Car or light van),%,46.4
Driving Test Pass Rate,2023 April,Co. Galway,Category B (Car or light van),%,58.7
Driving Test Pass Rate,2023 April,Co. Kildare,Category B (Car or light van),%,53.1
Driving Test Pass Rate,2023 May,Co. Dublin,Category B (Car or light van),%,45.3
Driving Test Pass Rate,2023 May,Co. Galway,Category B (Car or light van),%,60.1
Driving Test Pass Rate,2023 May,Co. Kildare,Category B (Car or light van),%,51
Driving Test Pass Rate,2023 June,Co. Dublin,Category B (Car or light van),%,45.9
Driving Test Pass Rate,2023 June,Co. Galway,Category B (Car or light van),%,60.6
Driving Test Pass Rate,2023 June,Co. Kildare,Category B (Car or light van),%,50
Driving Test Pass Rate,2023 July,Co. Dublin,Category B (Car or light van),%,46.3
Driving Test Pass Rate,2023 July,Co. Galway,Category B (Car or light van),%,61.9
Driving Test Pass Rate,2023 July,Co. Kildare,Category B (Car or light van),%,51.6
Driving Test Pass Rate,2023 August,Co. Dublin,Category B (Car or light van),%,47.6
Driving Test Pass Rate,2023 August,Co. Galway,Category B (Car or light van),%,59.3
Driving Test Pass Rate,2023 August,Co. Kildare,Category B (Car or light van),%,48.9
Driving Test Pass Rate,2023 September,Co. Dublin,Category B (Car or light van),%,47.1
Driving Test Pass Rate,2023 September,Co. Galway,Category B (Car or light van),%,59.8
Driving Test Pass Rate,2023 September,Co. Kildare,Category B (Car or light van),%,51.6
Driving Test Pass Rate,2023 October,Co. Dublin,Category B (Car or light van),%,44.5
Driving Test Pass Rate,2023 October,Co. Galway,Category B (Car or light van),%,57.9
Driving Test Pass Rate,2023 October,Co. Kildare,Category B (Car or light van),%,51.2
Driving Test Pass Rate,2023 November,Co. Dublin,Category B (Car or light van),%,44.7
Driving Test Pass Rate,2023 November,Co. Galway,Category B (Car or light van),%,56.7
Driving Test Pass Rate,2023 November,Co. Kildare,Category B (Car or light van),%,50.6
Driving Test Pass Rate,2023 December,Co. Dublin,Category B (Car or light van),%,45.4
Driving Test Pass Rate,2023 December,Co. Galway,Category B (Car or light van),%,58.7
Driving Test Pass Rate,2023 December,Co. Kildare,Category B (Car or light van),%,49.7
Driving Test Pass Rate,2024 January,Co. Dublin,Category B (Car or light van),%,44.1
Driving Test Pass Rate,2024 January,Co. Galway,Category B (Car or light van),%,56.4
Driving Test Pass Rate,2024 January,Co. Kildare,Category B (Car or light van),%,54.3
Driving Test Pass Rate,2024 February,Co. Dublin,Category B (Car or light van),%,43.1
Driving Test Pass Rate,2024 February,Co. Galway,Category B (Car or light van),%,56.1
Driving Test Pass Rate,2024 February,Co. Kildare,Category B (Car or light van),%,52.7
Driving Test Pass Rate,2024 March,Co. Dublin,Category B (Car or light van),%,42.9
Driving Test Pass Rate,2024 March,Co. Galway,Category B (Car or light van),%,53.7
Driving Test Pass Rate,2024 March,Co. Kildare,Category B (Car or light van),%,50.4
Driving Test Pass Rate,2024 April,Co. Dublin,Category B (Car or light van),%,43.6
Driving Test Pass Rate,2024 April,Co. Galway,Category B (Car or light van),%,57
Driving Test Pass Rate,2024 April,Co. Kildare,Category B (Car or light van),%,51.2
Driving Test Pass Rate,2024 May,Co. Dublin,Category B (Car or light van),%,43.7
Driving Test Pass Rate,2024 May,Co. Galway,Category B (Car or light van),%,56.1
Driving Test Pass Rate,2024 May,Co. Kildare,Category B (Car or light van),%,51
Driving Test Pass Rate,2024 June,Co. Dublin,Category B (Car or light van),%,43.6
Driving Test Pass Rate,2024 June,Co. Galway,Category B (Car or light van),%,57.5
Driving Test Pass Rate,2024 June,Co. Kildare,Category B (Car or light van),%,50.5
Driving Test Pass Rate,2024 July,Co. Dublin,Category B (Car or light van),%,42.6
Driving Test Pass Rate,2024 July,Co. Galway,Category B (Car or light van),%,59.2
Driving Test Pass Rate,2024 July,Co. Kildare,Category B (Car or light van),%,50.4
Driving Test Pass Rate,2024 August,Co. Dublin,Category B (Car or light van),%,43.6
Driving Test Pass Rate,2024 August,Co. Galway,Category B (Car or light van),%,55.9
Driving Test Pass Rate,2024 August,Co. Kildare,Category B (Car or light van),%,51.1
Driving Test Pass Rate,2024 September,Co. Dublin,Category B (Car or light van),%,41.2
Driving Test Pass Rate,2024 September,Co. Galway,Category B (Car or light van),%,55.2
Driving Test Pass Rate,2024 September,Co. Kildare,Category B (Car or light van),%,48.3
Driving Test Pass Rate,2024 October,Co. Dublin,Category B (Car or light van),%,41.5
Driving Test Pass Rate,2024 October,Co. Galway,Category B (Car or light van),%,56.4
Driving Test Pass Rate,2024 October,Co. Kildare,Category B (Car or light van),%,51.6
Driving Test Pass Rate,2024 November,Co. Dublin,Category B (Car or light van),%,42.8
Driving Test Pass Rate,2024 November,Co. Galway,Category B (Car or light van),%,56
Driving Test Pass Rate,2024 November,Co. Kildare,Category B (Car or light van),%,48.4
Driving Test Pass Rate,2024 December,Co. Dublin,Category B (Car or light van),%,43.7
Driving Test Pass Rate,2024 December,Co. Galway,Category B (Car or light van),%,58.5
Driving Test Pass Rate,2024 December,Co. Kildare,Category B (Car or light van),%,49.5
